TUMOUR,N40554,R00884,AA489861,T50661,AA055368,AA455094,AA599116,AA670107,AA458932,T71606,R48231,H59620,AA158258,N48302,W31688,AA487428,N55187,N20820,AA486332,T63362,W72596,AA430503,N33228,AA490996,AA055101,AA456654,AA504348,N80922,W69094,AA453749,AA045074,R31679,AA490462,AA018979,W67316,AA461091,N95761,AA608582,T68113,N23047,W53015,AA455225,R15791,AA490737,AA625890,W42451,AI668697,AA459407,AA461092,AA700419
1,-0.008,-1.442,0.603,-0.384,-0.051,0.607,-2.29,-1.684,-1.228,-0.48,0.217,-0.721,-1.387,-0.386,-0.31,-1.49,0.889,0.53,-0.687,0.783,0.005,-1.713,1.598,-1.584,0.056,0.817,-4.358,0.786,-1.013,-1.963,-1.141,4.793,1.84,0.854,0.409,-0.342,1.726,-2.286,0.657,-0.506,-0.121,0.316,0.695,-0.476,1.782,-0.403,-0.402,-0.441,-0.952,0.328
1,0.636,-0.152,0.879,-0.241,-0.149,0.901,-2.086,-3.741,-1.502,-0.609,0.207,0.746,-1.766,-0.186,-0.296,0.18,0.933,-0.619,0.598,0.469,0.767,-0.82,1.611,-2.133,0.073,0.95,-1.852,0.611,-0.39,-1.729,-0.006,5.113,2.271,0.695,0.852,1.179,3.182,-2.258,0.736,-0.247,0.157,0.23,0.263,-0.746,1.185,0.169,-0.084,-0.057,-1.066,0.236
2,0.963,-1.287,1.036,-0.044,-3.046,0.212,-2.11,-2.921,-1.157,-0.153,-0.152,-1.778,-0.316,0.925,0.368,-0.766,1.353,0.394,-0.805,1.424,-0.474,-1.006,2.248,-3.574,-0.138,0.659,-1.819,0.309,-0.194,-1.545,-0.718,2.546,-0.071,3.967,0.684,0.673,1.745,-0.854,0.482,-0.271,-0.29,0.362,-0.677,-0.222,4.144,0.291,0.631,0.59,-0.166,1.319
1,0.141,-1.685,1.117,0.206,-0.506,0.561,-2.333,-2.031,-1.598,0.183,0.021,-1.098,-1.468,-0.074,-0.609,-1.703,0.879,0.182,-0.953,0.543,1.05,-1.705,0.794,-1.576,-0.396,0.994,-2.099,0.206,-0.993,-1.75,-0.286,5.197,2.48,1.059,0.391,0.713,2.012,-1.618,1.028,-0.326,0.228,-0.406,-0.19,-0.521,0.991,-0.06,-0.675,-0.968,-0.381,1.369
1,0.376,-1.223,0.824,0.215,-0.848,0.699,-2.361,-2.485,-1.375,-0.499,0.581,-0.056,-1.252,0.342,0.108,-0.907,0.873,0.32,-0.477,0.663,0.382,-0.981,1.735,-1.628,-0.264,0.774,-1.442,0.746,-0.575,-1.92,-0.582,3.009,1.324,0.548,1.12,1.779,1.791,-1.296,0.754,-0.122,-0.351,-0.341,1.036,-0.296,1.185,-0.163,0.271,-0.844,-0.36,0.879
2,1.379,-1.164,0.961,0.581,-3.714,0.606,-1.87,-2.953,-0.552,0.672,-0.092,-1.579,-0.603,0.237,-0.584,-0.618,0.51,0.789,0.242,0.911,0.476,0.147,2.165,-3.395,-1.109,0.989,-1.402,0.535,-0.075,-1.29,-1.246,2.183,2.453,1.828,1.101,1.861,1.643,-1.596,2.114,-0.092,-0.641,-0.633,-0.204,0.013,3.33,0.286,0.528,-0.276,-0.336,1.378
2,-1.818,-1.261,0.977,-0.172,-1.053,0.276,-2.306,-2.866,-1.462,-0.057,0.62,-0.921,-1,0.296,0.132,-0.91,1.33,0.335,-0.645,1.037,-0.367,-1.095,2.202,-2.419,0.297,1.231,-1.666,0.745,-0.223,-1.824,-0.946,4.271,0.83,1.308,0.96,1.804,1.924,-1.444,1.622,-0.036,-0.218,0.111,0.018,-0.329,3.792,0.395,-0.205,0.503,-0.284,1.795
2,1.377,-1.806,0.304,-0.442,-3.43,-0.005,-2.303,-2.397,-0.904,-0.913,0.255,-2.5,-1.375,-0.401,-0.112,-1.592,1.224,0.627,-0.476,0.958,0.227,-1.403,2.856,-2.245,-0.598,1.015,-2.356,-0.656,-0.991,-1.662,-0.64,2.868,2.736,0.063,1.261,2.368,2.032,-0.153,2.151,-0.831,-0.312,-0.626,-0.209,0.207,4.417,0.84,-0.868,0.183,-0.512,0.751
2,0.855,-1.981,1.202,0.199,-2.782,0.324,-2.095,-2.252,-1.124,0.09,0.34,-0.607,-0.3,0.632,-0.117,-1.071,0.701,0.404,-1.042,0.865,-0.062,-0.437,2.027,-2.094,-0.909,0.992,-1.403,0.609,-0.35,-1.507,-0.995,3.064,2.094,1.266,0.965,1.269,1.069,-1.316,1.429,-0.387,-0.44,-0.522,-0.112,-0.341,3.525,0.56,-0.387,0.048,0.134,1.572
2,1.36,-1.072,1.125,0.565,-1.651,0.471,-2.465,-2.607,-1.503,0.275,0.662,-1.811,-0.248,0.774,-0.124,-1.221,0.968,0.464,-0.871,1.09,-0.064,-1.069,2.403,-2.552,-0.322,1.134,-1.706,0.707,-0.425,-2.123,-0.619,3.932,1.253,1.637,1.029,1.267,2.088,-1.389,1.586,-0.285,-0.195,-0.335,0.756,-0.351,4.145,0.605,0.524,0.082,-0.114,1.79
